Lump in the breast,Thickening or swelling in the breast,Change in the size or shape of the breast,Dimpling or puckering of the skin on the breast,Inverted nipple,Redness or scaling on the breast or nipple,Nipple discharge,Swollen lymph nodes under the arm,severity_level
0,0,0,0,0,0,0,0,Low severity
0,0,0,0,0,0,0,1,Low severity
0,0,0,0,0,0,1,0,Low severity
0,0,0,0,0,0,1,1,Low severity
0,0,0,0,0,1,0,0,Low severity
0,0,0,0,0,1,0,1,Low severity
0,0,0,0,0,1,1,0,Low severity
0,0,0,0,0,1,1,1,Medium severity
0,0,0,0,1,0,0,0,Low severity
0,0,0,0,1,0,0,1,Low severity
0,0,0,0,1,0,1,0,Low severity
0,0,0,0,1,0,1,1,Medium severity
0,0,0,0,1,1,0,0,Low severity
0,0,0,0,1,1,0,1,Medium severity
0,0,0,0,1,1,1,0,Medium severity
0,0,0,0,1,1,1,1,Medium severity
0,0,0,1,0,0,0,0,Low severity
0,0,0,1,0,0,0,1,Low severity
0,0,0,1,0,0,1,0,Low severity
0,0,0,1,0,0,1,1,Medium severity
0,0,0,1,0,1,0,0,Low severity
0,0,0,1,0,1,0,1,Medium severity
0,0,0,1,0,1,1,0,Medium severity
0,0,0,1,0,1,1,1,Medium severity
0,0,0,1,1,0,0,0,Low severity
0,0,0,1,1,0,0,1,Medium severity
0,0,0,1,1,0,1,0,Medium severity
0,0,0,1,1,0,1,1,Medium severity
0,0,0,1,1,1,0,0,Medium severity
0,0,0,1,1,1,0,1,Medium severity
0,0,0,1,1,1,1,0,Medium severity
0,0,0,1,1,1,1,1,High severity
0,0,1,0,0,0,0,0,Low severity
0,0,1,0,0,0,0,1,Low severity
0,0,1,0,0,0,1,0,Low severity
0,0,1,0,0,0,1,1,Medium severity
0,0,1,0,0,1,0,0,Low severity
0,0,1,0,0,1,0,1,Medium severity
0,0,1,0,0,1,1,0,Medium severity
0,0,1,0,0,1,1,1,Medium severity
0,0,1,0,1,0,0,0,Low severity
0,0,1,0,1,0,0,1,Medium severity
0,0,1,0,1,0,1,0,Medium severity
0,0,1,0,1,0,1,1,Medium severity
0,0,1,0,1,1,0,0,Medium severity
0,0,1,0,1,1,0,1,Medium severity
0,0,1,0,1,1,1,0,Medium severity
0,0,1,0,1,1,1,1,High severity
0,0,1,1,0,0,0,0,Low severity
0,0,1,1,0,0,0,1,Medium severity
0,0,1,1,0,0,1,0,Medium severity
0,0,1,1,0,0,1,1,Medium severity
0,0,1,1,0,1,0,0,Medium severity
0,0,1,1,0,1,0,1,Medium severity
0,0,1,1,0,1,1,0,Medium severity
0,0,1,1,0,1,1,1,High severity
0,0,1,1,1,0,0,0,Medium severity
0,0,1,1,1,0,0,1,Medium severity
0,0,1,1,1,0,1,0,Medium severity
0,0,1,1,1,0,1,1,High severity
0,0,1,1,1,1,0,0,Medium severity
0,0,1,1,1,1,0,1,High severity
0,0,1,1,1,1,1,0,High severity
0,0,1,1,1,1,1,1,High severity
0,1,0,0,0,0,0,0,Low severity
0,1,0,0,0,0,0,1,Low severity
0,1,0,0,0,0,1,0,Low severity
0,1,0,0,0,0,1,1,Medium severity
0,1,0,0,0,1,0,0,Low severity
0,1,0,0,0,1,0,1,Medium severity
0,1,0,0,0,1,1,0,Medium severity
0,1,0,0,0,1,1,1,Medium severity
0,1,0,0,1,0,0,0,Low severity
0,1,0,0,1,0,0,1,Medium severity
0,1,0,0,1,0,1,0,Medium severity
0,1,0,0,1,0,1,1,Medium severity
0,1,0,0,1,1,0,0,Medium severity
0,1,0,0,1,1,0,1,Medium severity
0,1,0,0,1,1,1,0,Medium severity
0,1,0,0,1,1,1,1,High severity
0,1,0,1,0,0,0,0,Low severity
0,1,0,1,0,0,0,1,Medium severity
0,1,0,1,0,0,1,0,Medium severity
0,1,0,1,0,0,1,1,Medium severity
0,1,0,1,0,1,0,0,Medium severity
0,1,0,1,0,1,0,1,Medium severity
0,1,0,1,0,1,1,0,Medium severity
0,1,0,1,0,1,1,1,High severity
0,1,0,1,1,0,0,0,Medium severity
0,1,0,1,1,0,0,1,Medium severity
0,1,0,1,1,0,1,0,Medium severity
0,1,0,1,1,0,1,1,High severity
0,1,0,1,1,1,0,0,Medium severity
0,1,0,1,1,1,0,1,High severity
0,1,0,1,1,1,1,0,High severity
0,1,0,1,1,1,1,1,High severity
0,1,1,0,0,0,0,0,Low severity
0,1,1,0,0,0,0,1,Medium severity
0,1,1,0,0,0,1,0,Medium severity
0,1,1,0,0,0,1,1,Medium severity
0,1,1,0,0,1,0,0,Medium severity
0,1,1,0,0,1,0,1,Medium severity
0,1,1,0,0,1,1,0,Medium severity
0,1,1,0,0,1,1,1,High severity
0,1,1,0,1,0,0,0,Medium severity
0,1,1,0,1,0,0,1,Medium severity
0,1,1,0,1,0,1,0,Medium severity
0,1,1,0,1,0,1,1,High severity
0,1,1,0,1,1,0,0,Medium severity
0,1,1,0,1,1,0,1,High severity
0,1,1,0,1,1,1,0,High severity
0,1,1,0,1,1,1,1,High severity
0,1,1,1,0,0,0,0,Medium severity
0,1,1,1,0,0,0,1,Medium severity
0,1,1,1,0,0,1,0,Medium severity
0,1,1,1,0,0,1,1,High severity
0,1,1,1,0,1,0,0,Medium severity
0,1,1,1,0,1,0,1,High severity
0,1,1,1,0,1,1,0,High severity
0,1,1,1,0,1,1,1,High severity
0,1,1,1,1,0,0,0,Medium severity
0,1,1,1,1,0,0,1,High severity
0,1,1,1,1,0,1,0,High severity
0,1,1,1,1,0,1,1,High severity
0,1,1,1,1,1,0,0,High severity
0,1,1,1,1,1,0,1,High severity
0,1,1,1,1,1,1,0,High severity
0,1,1,1,1,1,1,1,High severity
1,0,0,0,0,0,0,0,Low severity
1,0,0,0,0,0,0,1,Low severity
1,0,0,0,0,0,1,0,Low severity
1,0,0,0,0,0,1,1,Medium severity
1,0,0,0,0,1,0,0,Low severity
1,0,0,0,0,1,0,1,Medium severity
1,0,0,0,0,1,1,0,Medium severity
1,0,0,0,0,1,1,1,Medium severity
1,0,0,0,1,0,0,0,Low severity
1,0,0,0,1,0,0,1,Medium severity
1,0,0,0,1,0,1,0,Medium severity
1,0,0,0,1,0,1,1,Medium severity
1,0,0,0,1,1,0,0,Medium severity
1,0,0,0,1,1,0,1,Medium severity
1,0,0,0,1,1,1,0,Medium severity
1,0,0,0,1,1,1,1,High severity
1,0,0,1,0,0,0,0,Low severity
1,0,0,1,0,0,0,1,Medium severity
1,0,0,1,0,0,1,0,Medium severity
1,0,0,1,0,0,1,1,Medium severity
1,0,0,1,0,1,0,0,Medium severity
1,0,0,1,0,1,0,1,Medium severity
1,0,0,1,0,1,1,0,Medium severity
1,0,0,1,0,1,1,1,High severity
1,0,0,1,1,0,0,0,Medium severity
1,0,0,1,1,0,0,1,Medium severity
1,0,0,1,1,0,1,0,Medium severity
1,0,0,1,1,0,1,1,High severity
1,0,0,1,1,1,0,0,Medium severity
1,0,0,1,1,1,0,1,High severity
1,0,0,1,1,1,1,0,High severity
1,0,0,1,1,1,1,1,High severity
1,0,1,0,0,0,0,0,Low severity
1,0,1,0,0,0,0,1,Medium severity
1,0,1,0,0,0,1,0,Medium severity
1,0,1,0,0,0,1,1,Medium severity
1,0,1,0,0,1,0,0,Medium severity
1,0,1,0,0,1,0,1,Medium severity
1,0,1,0,0,1,1,0,Medium severity
1,0,1,0,0,1,1,1,High severity
1,0,1,0,1,0,0,0,Medium severity
1,0,1,0,1,0,0,1,Medium severity
1,0,1,0,1,0,1,0,Medium severity
1,0,1,0,1,0,1,1,High severity
1,0,1,0,1,1,0,0,Medium severity
1,0,1,0,1,1,0,1,High severity
1,0,1,0,1,1,1,0,High severity
1,0,1,0,1,1,1,1,High severity
1,0,1,1,0,0,0,0,Medium severity
1,0,1,1,0,0,0,1,Medium severity
1,0,1,1,0,0,1,0,Medium severity
1,0,1,1,0,0,1,1,High severity
1,0,1,1,0,1,0,0,Medium severity
1,0,1,1,0,1,0,1,High severity
1,0,1,1,0,1,1,0,High severity
1,0,1,1,0,1,1,1,High severity
1,0,1,1,1,0,0,0,Medium severity
1,0,1,1,1,0,0,1,High severity
1,0,1,1,1,0,1,0,High severity
1,0,1,1,1,0,1,1,High severity
1,0,1,1,1,1,0,0,High severity
1,0,1,1,1,1,0,1,High severity
1,0,1,1,1,1,1,0,High severity
1,0,1,1,1,1,1,1,High severity
1,1,0,0,0,0,0,0,Low severity
1,1,0,0,0,0,0,1,Medium severity
1,1,0,0,0,0,1,0,Medium severity
1,1,0,0,0,0,1,1,Medium severity
1,1,0,0,0,1,0,0,Medium severity
1,1,0,0,0,1,0,1,Medium severity
1,1,0,0,0,1,1,0,Medium severity
1,1,0,0,0,1,1,1,High severity
1,1,0,0,1,0,0,0,Medium severity
1,1,0,0,1,0,0,1,Medium severity
1,1,0,0,1,0,1,0,Medium severity
1,1,0,0,1,0,1,1,High severity
1,1,0,0,1,1,0,0,Medium severity
1,1,0,0,1,1,0,1,High severity
1,1,0,0,1,1,1,0,High severity
1,1,0,0,1,1,1,1,High severity
1,1,0,1,0,0,0,0,Medium severity
1,1,0,1,0,0,0,1,Medium severity
1,1,0,1,0,0,1,0,Medium severity
1,1,0,1,0,0,1,1,High severity
1,1,0,1,0,1,0,0,Medium severity
1,1,0,1,0,1,0,1,High severity
1,1,0,1,0,1,1,0,High severity
1,1,0,1,0,1,1,1,High severity
1,1,0,1,1,0,0,0,Medium severity
1,1,0,1,1,0,0,1,High severity
1,1,0,1,1,0,1,0,High severity
1,1,0,1,1,0,1,1,High severity
1,1,0,1,1,1,0,0,High severity
1,1,0,1,1,1,0,1,High severity
1,1,0,1,1,1,1,0,High severity
1,1,0,1,1,1,1,1,High severity
1,1,1,0,0,0,0,0,Medium severity
1,1,1,0,0,0,0,1,Medium severity
1,1,1,0,0,0,1,0,Medium severity
1,1,1,0,0,0,1,1,High severity
1,1,1,0,0,1,0,0,Medium severity
1,1,1,0,0,1,0,1,High severity
1,1,1,0,0,1,1,0,High severity
1,1,1,0,0,1,1,1,High severity
1,1,1,0,1,0,0,0,Medium severity
1,1,1,0,1,0,0,1,High severity
1,1,1,0,1,0,1,0,High severity
1,1,1,0,1,0,1,1,High severity
1,1,1,0,1,1,0,0,High severity
1,1,1,0,1,1,0,1,High severity
1,1,1,0,1,1,1,0,High severity
1,1,1,0,1,1,1,1,High severity
1,1,1,1,0,0,0,0,Medium severity
1,1,1,1,0,0,0,1,High severity
1,1,1,1,0,0,1,0,High severity
1,1,1,1,0,0,1,1,High severity
1,1,1,1,0,1,0,0,High severity
1,1,1,1,0,1,0,1,High severity
1,1,1,1,0,1,1,0,High severity
1,1,1,1,0,1,1,1,High severity
1,1,1,1,1,0,0,0,High severity
1,1,1,1,1,0,0,1,High severity
1,1,1,1,1,0,1,0,High severity
1,1,1,1,1,0,1,1,High severity
1,1,1,1,1,1,0,0,High severity
1,1,1,1,1,1,0,1,High severity
1,1,1,1,1,1,1,0,High severity
1,1,1,1,1,1,1,1,High severity
